repo_id,label,group,group_name,target_block_count,residual_idx,mixed_mass,forced_mix_l1,forced_mix_l1_per_mixed_mass,observed_attn_share,count_attn_share
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,7,0.6173173223690289,0.07767448913518003,0.12582586997088452,0.43708706501455774,0.5
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,8,0.8298145476274373,0.09710687332279305,0.11702238000097248,0.4414888099995138,0.5
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,9,0.8363320698461882,0.07334176830563759,0.08769455453158222,0.5280169284869315,0.5718642057527226
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,10,0.8765253897726051,0.08854027795113194,0.10101279322222684,0.44949360338888655,0.5
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,11,0.866015689674674,0.060193711307232896,0.06950649050001065,0.5205767978540585,0.5553300431040639
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,12,0.9114592354896107,0.03849944499571136,0.04223934927274123,0.47888032536362934,0.5
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,13,0.7835234475390214,0.03880694529753395,0.049528760650907354,0.47523561967454636,0.5
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,14,0.9341436021211671,0.032164358268908365,0.034431920526857444,0.48278403973657125,0.5
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,15,0.9284607172315198,0.030301772411357338,0.03263656916117144,0.5350951949562297,0.5514134795368155
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,16,0.9499214823107893,0.028817230517544354,0.030336434172899475,0.48689368908786146,0.5
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,17,0.9282721038150593,0.01579761314925133,0.01701830000527378,0.5334154311659721,0.5414729187610022
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,18,0.9533402652032977,0.02803550793872609,0.02940766163144025,0.4908591160476549,0.5
